,Date,MTTR,Devices,Faults
0,2017-09-11,0.4373969791351388,0.0,0.0
1,2017-09-18,0.0,0.0,0.0
2,2017-09-25,0.0,0.0,0.0
3,2017-10-02,0.728229136353511,0.029940119760479042,0.0
4,2017-10-09,0.3662271460511314,0.029940119760479042,0.0
5,2017-10-16,0.35760961733114244,0.029940119760479042,0.0
6,2017-10-23,0.44791734730469246,0.029940119760479042,0.0
7,2017-10-30,0.2595548021185696,0.029940119760479042,0.0
8,2017-11-06,0.3052129795011325,0.029940119760479042,0.0
9,2017-11-13,0.7242107112572719,0.12574850299401197,0.14285714285714285
10,2017-11-20,0.4666871766539502,0.08982035928143713,0.14285714285714285
11,2017-11-27,0.7432274510400227,0.20359281437125748,0.14285714285714285
12,2017-12-04,0.6222266124397646,0.16766467065868262,0.14285714285714285
13,2017-12-11,0.4328645295297902,0.18562874251497005,0.14285714285714285
14,2017-12-18,0.5336022157615249,0.2275449101796407,0.14285714285714285
15,2017-12-25,0.43384707751570784,0.19161676646706588,0.14285714285714285
16,2018-01-01,1.0,0.8682634730538922,0.14285714285714285
17,2018-01-08,0.47425390520774763,0.25748502994011974,0.2857142857142857
18,2018-01-15,0.27387443249893934,0.2754491017964072,0.2857142857142857
19,2018-01-22,0.267328180909749,0.2754491017964072,0.42857142857142855
20,2018-01-29,0.46481634203151373,0.592814371257485,0.42857142857142855
21,2018-02-05,0.5225340450949937,0.7544910179640718,0.42857142857142855
22,2018-02-12,0.7639655134673546,1.0,0.42857142857142855
23,2018-02-19,0.3628045782924438,0.7305389221556886,0.42857142857142855
24,2018-02-26,0.47241327047105874,0.7664670658682635,0.42857142857142855
25,2018-03-05,0.3240465628221247,0.7365269461077845,0.42857142857142855
26,2018-03-12,0.4791040871570472,0.8023952095808383,0.42857142857142855
27,2018-03-19,0.4949813604986679,0.8083832335329342,0.5714285714285714
28,2018-03-26,0.4448047303557974,0.7664670658682635,0.42857142857142855
29,2018-04-02,0.5595695463678347,0.8263473053892215,0.42857142857142855
30,2018-04-09,0.6016288086902255,0.9161676646706587,0.5714285714285714
31,2018-04-16,0.7569548079503362,0.9880239520958084,0.7142857142857143
32,2018-04-23,0.6950211630756635,0.8502994011976048,0.7142857142857143
33,2018-04-30,0.6951283885572287,0.874251497005988,0.7142857142857143
34,2018-05-07,0.6311814679273687,0.8323353293413174,0.7142857142857143
35,2018-05-14,0.8114574243698832,0.9520958083832335,0.8571428571428571
36,2018-05-21,0.7142135859729356,0.9041916167664671,0.8571428571428571
37,2018-05-28,0.7968886678040485,0.9940119760479041,0.8571428571428571
38,2018-06-04,0.7290178086402601,0.9580838323353293,1.0
39,2018-06-11,0.7353780722736997,0.8682634730538922,0.8571428571428571
40,2018-06-18,0.8411148583936511,0.9700598802395209,0.8571428571428571
41,2018-06-25,0.7770056362893393,0.8802395209580839,0.8571428571428571
42,2018-07-02,0.7381017246156655,0.9341317365269461,0.8571428571428571
43,2018-07-09,0.8102635144454285,0.9700598802395209,0.8571428571428571
44,2018-07-16,0.8842807458841719,0.9760479041916168,0.8571428571428571
45,2018-07-23,0.8076080554137324,0.8922155688622755,0.8571428571428571
46,2018-07-30,0.8279532209958465,0.8682634730538922,0.8571428571428571
47,2018-08-06,0.8235165712893745,0.8982035928143712,0.8571428571428571
48,2018-08-13,0.8460326953725635,0.874251497005988,1.1428571428571428
49,2018-08-20,0.8312293494370853,0.7485029940119761,1.0
50,2018-08-27,0.8500790931508064,0.7604790419161677,1.0
51,2018-09-03,0.7947668046278314,0.6467065868263473,0.8571428571428571
52,2018-09-10,0.8769377094625871,0.6646706586826348,0.8571428571428571
53,2018-09-17,0.9827876720522994,0.6287425149700598,0.8571428571428571
54,2018-09-24,1.0204824458199395,0.6646706586826348,0.7142857142857143
55,2018-10-01,0.8771343318494548,0.023952095808383235,0.14285714285714285
